date,username,tweet,language,hashtags,cashtags,nlikes,nreplies,nretweets
2022-04-24 05:21:14,StubbiesDCB,@SissyPunch They shouldn't.. they're literally playing #NFTs they can't own or use outside of the game. They will pay to win or #FOMO into skins or upgradeable equiptment 🥴 #NFT #P2E,en,"['nfts', 'fomo', 'nft', 'p2e']",[],4,0,0
2022-04-24 05:21:11,RWezenaar,"⚡  Artwork: ""Tranquil"" ⚡  Who will give this  a new home? 👀 ➡ 50% of sales will go back into the #NFTCommunity  👇 click 👇  https://t.co/G97Fm4eyJH #artwork #NFT #NFTart #LGBTQ #nftcollector #cryptoartist #NFTs #wezenaar #rickwezenaar  https://t.co/nDMUpcPucQ",en,"['nftcommunity', 'artwork', 'nft', 'nftart', 'lgbtq', 'nftcollector', 'cryptoartist', 'nfts', 'wezenaar', 'rickwezenaar']",[],4,0,1
2022-04-24 05:21:10,CryptoonNetwork,"Moon Bears NFT have landed on @opensea !! The floor price is rising people, get in early 💎🚀🌕   https://t.co/mIMzMColrn  #MoonBearsNFT #CryptoonNetwork #NFT #NFTDrop #NFTShill #OpenSea #NFTCommunity #nftart #nftartist #nfts #WeBurnShib $Shib #NFTProject #nftopensea  https://t.co/MxbHZkqwTq",en,"['moonbearsnft', 'cryptoonnetwork', 'nft', 'nftdrop', 'nftshill', 'opensea', 'nftcommunity', 'nftart', 'nftartist', 'nfts', 'weburnshib', 'nftproject', 'nftopensea']",['shib'],17,0,11
2022-04-24 05:21:02,ibrahim_klc11," https://t.co/JOL0ntP0if #NFT #NFTs #NFTCommmunity #NFTGiveaway #nftcollector #NFTdrop #NFTcollections #NFTartist  #NFTphotographers #nftphotographer  In the month of Ramadan, at midnight, at the time of sahur, the three children of Drummer Adam are in a fight for bread! 0.07 ETH  https://t.co/KCvtg2632B",en,"['nft', 'nfts', 'nftcommmunity', 'nftgiveaway', 'nftcollector', 'nftdrop', 'nftcollections', 'nftartist', 'nftphotographers', 'nftphotographer']",[],4,0,0
2022-04-24 05:21:01,MeceNFT,That is My colletion's new part !  https://t.co/tIeyU7mIfU #NFT #NFTCommunity #ETH #NFTs  https://t.co/RGLTw9Oj1F,en,"['nft', 'nftcommunity', 'eth', 'nfts']",[],3,0,0
2022-04-24 05:21:00,Visions_n_Dream,⚡️⚡️⚡️Buy now ⚡️⚡️⚡️ Visions and dreams ART #167 - 0.05ETH  #NFT  @opensea  #NFTs #NFTdrop #NFTCommunity #NFTartists #cryptolizart #NFTart #ETH #PolygonNFT #SolanaNFTs #VisionsAndDreamsArt #VADA_NFT  👉 https://t.co/uEOIDNEvqY  https://t.co/x5lT6X7LYf,en,"['nft', 'nfts', 'nftdrop', 'nftcommunity', 'nftartists', 'cryptolizart', 'nftart', 'eth', 'polygonnft', 'solananfts', 'visionsanddreamsart', 'vada_nft']",[],6,0,0
2022-04-24 05:20:53,PunkdroidsNFT,"This is Punkdroid 0808 🥶🥶🥶 ⛽ No Gas Fees ⛽  In @opensea🌊🌊🌊 🚨 0,006 Poly 👏👏👏 🚨 #NFT #NFTs #nftart #NFTCommunity #NFTGiveaway #NFTdrop #NFTCollection #NFTartist #Punkdroid #NFTcollectibles  https://t.co/MdtY0gnNdi",en,"['nft', 'nfts', 'nftart', 'nftcommunity', 'nftgiveaway', 'nftdrop', 'nftcollection', 'nftartist', 'punkdroid', 'nftcollectibles']",[],8,2,0
2022-04-24 05:20:40,grumpysolnft,Grumpies can not leave the battlefield once they are deployed. But they can call their clan members to support.😾🤝😾  #NFT #NFTCommunity #NFTs #SolanaNFTs #whitepaper #P2E,en,"['nft', 'nftcommunity', 'nfts', 'solananfts', 'whitepaper', 'p2e']",[],7,2,1
2022-04-24 05:20:31,ibrahim_klc11, https://t.co/uEscOtfZGR #NFT #NFTs #NFTCommmunity #NFTGiveaway #nftcollector #NFTdrop #NFTcollections #NFTartist #NFTart #NFTphotographers #nftphotographer #NFTphotograph   From Gaziantep Zoo trip.. Charismatic Python snake and its exotic nest.  0.07 ETH  https://t.co/P3IAlBE8Sz,en,"['nft', 'nfts', 'nftcommmunity', 'nftgiveaway', 'nftcollector', 'nftdrop', 'nftcollections', 'nftartist', 'nftart', 'nftphotographers', 'nftphotographer', 'nftphotograph']",[],4,0,1
2022-04-24 05:20:18,Ruffol87,🏝️ The Lala Island Collection is live on OpenSea 🏝️   https://t.co/3NG8onuoSY  🔥 0.006 floor price 🔥  Congrats to the 5 winners!!! You'll reveice a dm.  They would be very happy about a new home to get cuddled and loved.  #NFTLaunch #NFT #NFTs #NFTCommunity #opensea  https://t.co/bS2QP97P2O,en,"['nftlaunch', 'nft', 'nfts', 'nftcommunity', 'opensea']",[],7,1,1
